"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/14/2022","AQS","060010007","1","0.041","ppm","38","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/15/2022","AQS","060010007","1","0.029","ppm","27","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/16/2022","AQS","060010007","1","0.036","ppm","33","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/17/2022","AQS","060010007","1","0.045","ppm","42","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/18/2022","AQS","060010007","1","0.055","ppm","51","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/19/2022","AQS","060010007","1","0.045","ppm","42","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/20/2022","AQS","060010007","1","0.049","ppm","45","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/21/2022","AQS","060010007","1","0.047","ppm","44","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/22/2022","AQS","060010007","1","0.045","ppm","42","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/23/2022","AQS","060010007","1","0.051","ppm","47","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/24/2022","AQS","060010007","1","0.064","ppm","80","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/25/2022","AQS","060010007","1","0.054","ppm","50","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/26/2022","AQS","060010007","1","0.049","ppm","45","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/27/2022","AQS","060010007","1","0.038","ppm","35","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/28/2022","AQS","060010007","1","0.035","ppm","32","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/29/2022","AQS","060010007","1","0.039","ppm","36","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/30/2022","AQS","060010007","1","0.041","ppm","38","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/31/2022","AQS","060010007","1","0.043","ppm","40","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/01/2022","AQS","060010007","1","0.05","ppm","46","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/02/2022","AQS","060010007","1","0.036","ppm","33","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/03/2022","AQS","060010007","1","0.024","ppm","22","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
